step,sim_time_s,cmd,x_m,y_m,yaw_fused,yaw_imu,left_enc,right_enc,ds,dtheta_enc
101,3.232,STOP,-4.527519603669805e-11,1.9312467298563124e-18,-3.778031739608217e-07,-3.8078106312511295e-07,-11.56090266583684,11.56090339700097,0.0,1.729434205906659e-15
102,3.2640000000000002,STOP,-4.52752342283701e-11,1.9312611644777068e-18,-3.7795206704990083e-07,-3.8078106312511295e-07,-11.560902665836846,11.560903397000974,-3.8191672047105394e-17,1.4411951715888823e-15
103,3.2960000000000003,STOP,-4.527519603669805e-11,1.9312467244541595e-18,-3.780935155067305e-07,-3.8078106356920216e-07,-11.56090266583685,11.56090339700098,3.8191672047105394e-17,1.4411951715888823e-15
104,3.3280000000000003,STOP,-4.527519603669805e-11,1.9312467244541595e-18,-3.7822789181454573e-07,-3.8078106356920216e-07,-11.560902665836853,11.560903397000983,0.0,1.152956137271106e-15
105,3.36,STOP,-4.527519603669805e-11,1.9312467244541595e-18,-3.783555493069702e-07,-3.8078106356920216e-07,-11.560902665836856,11.560903397000986,0.0,1.152956137271106e-15
106,3.392,STOP,-4.527519603669805e-11,1.9312467244541595e-18,-3.784768239247735e-07,-3.8078106356920216e-07,-11.56090266583686,11.56090339700099,0.0,1.152956137271106e-15
107,3.424,STOP,-4.52752342283701e-11,1.9312611835170038e-18,-3.785920351077181e-07,-3.8078106401329137e-07,-11.560902665836863,11.560903397000992,-3.819167204710538e-17,8.647171029533295e-16
108,3.456,STOP,-4.52752342283701e-11,1.9312611835170038e-18,-3.7870148545768844e-07,-3.8078106401329137e-07,-11.560902665836867,11.560903397000995,0.0,1.152956137271106e-15
109,3.488,STOP,-4.527519603669805e-11,1.93124671630297e-18,-3.7880546356398735e-07,-3.8078106401329137e-07,-11.560902665836869,11.560903397000999,3.819167204710538e-17,8.647171029533295e-16
110,3.52,STOP,-4.527515784502601e-11,1.931232245316393e-18,-3.7890424276497136e-07,-3.8078106401329137e-07,-11.56090266583687,11.560903397001002,3.819167204710538e-17,8.647171029533295e-16
